id,state,type,name
AKC013,AK,county,Aleutians East
AKC016,AK,county,Aleutians West
AKC020,AK,county,Anchorage
AKC050,AK,county,Bethel
AKC060,AK,county,Bristol Bay
AKC063,AK,county,Chugach
AKC066,AK,county,Copper River
AKC068,AK,county,Denali
AKC070,AK,county,Dillingham
AKC090,AK,county,Fairbanks North Star
AKC100,AK,county,Haines
AKC105,AK,county,Hoonah-Angoon
AKC110,AK,county,Juneau
AKC122,AK,county,Kenai Peninsula
AKC130,AK,county,Ketchikan Gateway
AKC150,AK,county,Kodiak Island
AKC158,AK,county,Kusilvak
AKC164,AK,county,Lake and Peninsula
AKC170,AK,county,Matanuska-Susitna
AKC180,AK,county,Nome
AKC185,AK,county,North Slope
AKC188,AK,county,Northwest Arctic
AKC195,AK,county,Petersburg Borough
AKC198,AK,county,Prince of Wales-Hyder
AKC220,AK,county,Sitka
AKC230,AK,county,Skagway
AKC240,AK,county,Southeast Fairbanks
AKC275,AK,county,Wrangell
AKC282,AK,county,Yakutat
AKC290,AK,county,Yukon-Koyukuk
AKZ317,AK,fire,City and Borough of Yakutat
AKZ317,AK,public,City and Borough of Yakutat
AKZ318,AK,fire,Municipality of Skagway
AKZ318,AK,public,Municipality of Skagway
AKZ319,AK,fire,Haines Borough and Klukwan
AKZ319,AK,public,Haines Borough and Klukwan
AKZ320,AK,fire,Glacier Bay
AKZ320,AK,public,Glacier Bay
AKZ321,AK,fire,Eastern Chichagof Island
AKZ321,AK,public,Eastern Chichagof Island
AKZ322,AK,fire,Cape Fairweather to Lisianski Strait
AKZ322,AK,public,Cape Fairweather to Lisianski Strait
AKZ323,AK,fire,City and Borough of Sitka
AKZ323,AK,public,City and Borough of Sitka
AKZ324,AK,fire,Admiralty Island
AKZ324,AK,public,Admiralty Island
AKZ325,AK,fire,City and Borough of Juneau
AKZ325,AK,public,City and Borough of Juneau
AKZ326,AK,fire,Petersburg Borough
AKZ326,AK,public,Petersburg Borough
AKZ327,AK,fire,Western Kupreanof and Kuiu Island
AKZ327,AK,public,Western Kupreanof and Kuiu Island
AKZ328,AK,fire,Prince of Wales Island
AKZ328,AK,public,Prince of Wales Island
AKZ329,AK,fire,City and Borough of Wrangell
AKZ329,AK,public,City and Borough of Wrangell
AKZ330,AK,fire,Ketchikan Gateway Borough
AKZ330,AK,public,Ketchikan Gateway Borough
AKZ331,AK,fire,City of Hyder
AKZ331,AK,public,City of Hyder
AKZ332,AK,fire,Annette Island
AKZ332,AK,public,Annette Island
AKZ701,AK,fire,Anchorage
AKZ701,AK,public,Anchorage
AKZ702,AK,fire,Anchorage Hillside / Eagle River
